 Mach Number             (X)cp - Rocket          (X)cp - Nose/Body       (X)cp - Wing            (X)cp - Body-Wing       (X)cp - Wing-Tail      
 1.85200000000000E+0000  3.94004872621672E+0002  1.24552026861391E+0002  5.23934399606501E+0002  5.26410671159741E+0002  0.00000000000000E+0000 
 1.85300000000000E+0000  3.93964207740728E+0002  1.24531263643248E+0002  5.23934822006169E+0002  5.26410658355897E+0002  0.00000000000000E+0000 
 1.85400000000000E+0000  3.93923528414658E+0002  1.24510687760530E+0002  5.23935243211191E+0002  5.26410645543881E+0002  0.00000000000000E+0000 
 1.85500000000000E+0000  3.93882834331017E+0002  1.24490298382482E+0002  5.23935663225401E+0002  5.26410632723746E+0002  0.00000000000000E+0000 
 1.85600000000000E+0000  3.93842125177702E+0002  1.24470094679787E+0002  5.23936082052617E+0002  5.26410619895547E+0002  0.00000000000000E+0000 
 1.85700000000000E+0000  3.93801400642950E+0002  1.24450075824563E+0002  5.23936499696642E+0002  5.26410607059336E+0002  0.00000000000000E+0000 
 1.85800000000000E+0000  3.93760660415343E+0002  1.24430240990354E+0002  5.23936916161266E+0002  5.26410594215166E+0002  0.00000000000000E+0000 
 1.85900000000000E+0000  3.93719904183801E+0002  1.24410589352128E+0002  5.23937331450264E+0002  5.26410581363090E+0002  0.00000000000000E+0000 
 1.86000000000000E+0000  3.93679131637581E+0002  1.24391120086265E+0002  5.23937745567396E+0002  5.26410568503160E+0002  0.00000000000000E+0000 
 1.86100000000000E+0000  3.93638342466283E+0002  1.24371832370559E+0002  5.23938158516410E+0002  5.26410555635428E+0002  0.00000000000000E+0000 
 1.86200000000000E+0000  3.93597536359841E+0002  1.24352725384205E+0002  5.23938570301037E+0002  5.26410542759947E+0002  0.00000000000000E+0000 
 1.86300000000000E+0000  3.93556713008527E+0002  1.24333798307798E+0002  5.23938980924996E+0002  5.26410529876768E+0002  0.00000000000000E+0000 
 1.86400000000000E+0000  3.93515872102950E+0002  1.24315050323327E+0002  5.23939390391991E+0002  5.26410516985943E+0002  0.00000000000000E+0000 
 1.86500000000000E+0000  3.93475013334052E+0002  1.24296480614166E+0002  5.23939798705713E+0002  5.26410504087523E+0002  0.00000000000000E+0000 
 1.86600000000000E+0000  3.93434136393111E+0002  1.24278088365073E+0002  5.23940205869838E+0002  5.26410491181560E+0002  0.00000000000000E+0000 
 1.86700000000000E+0000  3.93393240971736E+0002  1.24259872762180E+0002  5.23940611888029E+0002  5.26410478268103E+0002  0.00000000000000E+0000 
 1.86800000000000E+0000  3.93352326761872E+0002  1.24241832992991E+0002  5.23941016763934E+0002  5.26410465347205E+0002  0.00000000000000E+0000 
 1.86900000000000E+0000  3.93311393455792E+0002  1.24223968246374E+0002  5.23941420501190E+0002  5.26410452418915E+0002  0.00000000000000E+0000 
 1.87000000000000E+0000  3.93270440746103E+0002  1.24206277712558E+0002  5.23941823103417E+0002  5.26410439483283E+0002  0.00000000000000E+0000 
 1.87100000000000E+0000  3.93229468325740E+0002  1.24188760583126E+0002  5.23942224574224E+0002  5.26410426540361E+0002  0.00000000000000E+0000 
 1.87200000000000E+0000  3.93188475887967E+0002  1.24171416051007E+0002  5.23942624917205E+0002  5.26410413590197E+0002  0.00000000000000E+0000 
 1.87300000000000E+0000  3.93147463126379E+0002  1.24154243310475E+0002  5.23943024135942E+0002  5.26410400632841E+0002  0.00000000000000E+0000 
 1.87400000000000E+0000  3.93106429734894E+0002  1.24137241557143E+0002  5.23943422234002E+0002  5.26410387668343E+0002  0.00000000000000E+0000 
 1.87500000000000E+0000  3.93065375407761E+0002  1.24120409987955E+0002  5.23943819214940E+0002  5.26410374696751E+0002  0.00000000000000E+0000 
 1.87600000000000E+0000  3.93024299839554E+0002  1.24103747801183E+0002  5.23944215082297E+0002  5.26410361718116E+0002  0.00000000000000E+0000 
 1.87700000000000E+0000  3.92983202725169E+0002  1.24087254196418E+0002  5.23944609839600E+0002  5.26410348732485E+0002  0.00000000000000E+0000 
 1.87800000000000E+0000  3.92942083759830E+0002  1.24070928374572E+0002  5.23945003490365E+0002  5.26410335739908E+0002  0.00000000000000E+0000 
 1.87900000000000E+0000  3.92900942639083E+0002  1.24054769537864E+0002  5.23945396038094E+0002  5.26410322740432E+0002  0.00000000000000E+0000 
 1.88000000000000E+0000  3.92859779058795E+0002  1.24038776889822E+0002  5.23945787486275E+0002  5.26410309734106E+0002  0.00000000000000E+0000 
 1.88100000000000E+0000  3.92818592715158E+0002  1.24022949635274E+0002  5.23946177838383E+0002  5.26410296720979E+0002  0.00000000000000E+0000 
 1.88200000000000E+0000  3.92777383304683E+0002  1.24007286980343E+0002  5.23946567097883E+0002  5.26410283701097E+0002  0.00000000000000E+0000 
 1.88300000000000E+0000  3.92736150524200E+0002  1.23991788132443E+0002  5.23946955268223E+0002  5.26410270674508E+0002  0.00000000000000E+0000 
 1.88400000000000E+0000  3.92694894070861E+0002  1.23976452300272E+0002  5.23947342352841E+0002  5.26410257641260E+0002  0.00000000000000E+0000 
 1.88500000000000E+0000  3.92653613642135E+0002  1.23961278693812E+0002  5.23947728355162E+0002  5.26410244601400E+0002  0.00000000000000E+0000 
 1.88600000000000E+0000  3.92612308935810E+0002  1.23946266524315E+0002  5.23948113278597E+0002  5.26410231554975E+0002  0.00000000000000E+0000 
 1.88700000000000E+0000  3.91239643227447E+0002  1.23623894662169E+0002  5.23948497126546E+0002  5.26410218502031E+0002  0.00000000000000E+0000 
 1.88800000000000E+0000  3.91198897214165E+0002  1.23609553601983E+0002  5.23948879902395E+0002  5.26410205442616E+0002  0.00000000000000E+0000 
 1.88900000000000E+0000  3.91158173519776E+0002  1.23595382329172E+0002  5.23949261609518E+0002  5.26410192376776E+0002  0.00000000000000E+0000 
 1.89000000000000E+0000  3.91117471984277E+0002  1.23581380070259E+0002  5.23949642251278E+0002  5.26410179304556E+0002  0.00000000000000E+0000 
 1.89100000000000E+0000  3.91076792447722E+0002  1.23567546052880E+0002  5.23950021831022E+0002  5.26410166226004E+0002  0.00000000000000E+0000 
 1.89200000000000E+0000  3.91036134750221E+0002  1.23553879505777E+0002  5.23950400352089E+0002  5.26410153141164E+0002  0.00000000000000E+0000 
 1.89300000000000E+0000  3.90995498731942E+0002  1.23540379658795E+0002  5.23950777817803E+0002  5.26410140050083E+0002  0.00000000000000E+0000 
 1.89400000000000E+0000  3.90954884233108E+0002  1.23527045742878E+0002  5.23951154231476E+0002  5.26410126952806E+0002  0.00000000000000E+0000 
 1.89500000000000E+0000  3.90914291093996E+0002  1.23513876990063E+0002  5.23951529596409E+0002  5.26410113849378E+0002  0.00000000000000E+0000 
 1.89600000000000E+0000  3.90873719154934E+0002  1.23500872633473E+0002  5.23951903915890E+0002  5.26410100739844E+0002  0.00000000000000E+0000 
 1.89700000000000E+0000  3.90833168256304E+0002  1.23488031907318E+0002  5.23952277193194E+0002  5.26410087624250E+0002  0.00000000000000E+0000 
 1.89800000000000E+0000  3.90792638238538E+0002  1.23475354046887E+0002  5.23952649431586E+0002  5.26410074502639E+0002  0.00000000000000E+0000 
 1.89900000000000E+0000  3.90752128942115E+0002  1.23462838288542E+0002  5.23953020634319E+0002  5.26410061375056E+0002  0.00000000000000E+0000 
 1.90000000000000E+0000  3.90711640207566E+0002  1.23450483869715E+0002  5.23953390804631E+0002  5.26410048241547E+0002  0.00000000000000E+0000 
