 Mach Number             (Cl)alpha - Rocket      (Cl)alpha - Nose/Body   (Cl)alpha - Wing        (Cl)alpha - Body-Wing   *                      
 1.84300000000000E+0000  7.95553245137784E+0000  2.58575113731931E+0000  4.77828743710333E+0000  5.91493876955199E-0001  0.00000000000000E+0000 
 1.84400000000000E+0000  7.95268485610663E+0000  2.58548962547628E+0000  4.77644801285105E+0000  5.90747217779300E-0001  0.00000000000000E+0000 
 1.84500000000000E+0000  7.94984182427519E+0000  2.58523053079076E+0000  4.77460918301221E+0000  5.90002110472230E-0001  0.00000000000000E+0000 
 1.84600000000000E+0000  7.94700335547630E+0000  2.58497385434261E+0000  4.77277095085241E+0000  5.89258550281288E-0001  0.00000000000000E+0000 
 1.84700000000000E+0000  7.94416944930032E+0000  2.58471959721416E+0000  4.77093331961250E+0000  5.88516532473664E-0001  0.00000000000000E+0000 
 1.84800000000000E+0000  7.94134010533524E+0000  2.58446776049014E+0000  4.76909629250876E+0000  5.87776052336337E-0001  0.00000000000000E+0000 
 1.84900000000000E+0000  7.93851532316675E+0000  2.58421834525774E+0000  4.76725987273305E+0000  5.87037105175967E-0001  0.00000000000000E+0000 
 1.85000000000000E+0000  7.93569510237827E+0000  2.58397135260652E+0000  4.76542406345296E+0000  5.86299686318787E-0001  0.00000000000000E+0000 
 1.85100000000000E+0000  7.93287944255100E+0000  2.58372678362849E+0000  4.76358886781201E+0000  5.85563791110504E-0001  0.00000000000000E+0000 
 1.85200000000000E+0000  7.93006834326394E+0000  2.58348463941800E+0000  4.76175428892975E+0000  5.84829414916184E-0001  0.00000000000000E+0000 
 1.85300000000000E+0000  7.92726180409396E+0000  2.58324492107182E+0000  4.75992032990198E+0000  5.84096553120164E-0001  0.00000000000000E+0000 
 1.85400000000000E+0000  7.92445982461585E+0000  2.58300762968906E+0000  4.75808699380086E+0000  5.83365201125931E-0001  0.00000000000000E+0000 
 1.85500000000000E+0000  7.92166240440234E+0000  2.58277276637120E+0000  4.75625428367510E+0000  5.82635354356035E-0001  0.00000000000000E+0000 
 1.85600000000000E+0000  7.91886954302413E+0000  2.58254033222207E+0000  4.75442220255007E+0000  5.81907008251983E-0001  0.00000000000000E+0000 
 1.85700000000000E+0000  7.91608124004998E+0000  2.58231032834784E+0000  4.75259075342801E+0000  5.81180158274130E-0001  0.00000000000000E+0000 
 1.85800000000000E+0000  7.91329749504672E+0000  2.58208275585698E+0000  4.75075993928814E+0000  5.80454799901592E-0001  0.00000000000000E+0000 
 1.85900000000000E+0000  7.91051830757928E+0000  2.58185761586032E+0000  4.74892976308682E+0000  5.79730928632135E-0001  0.00000000000000E+0000 
 1.86000000000000E+0000  7.90774367721077E+0000  2.58163490947096E+0000  4.74710022775772E+0000  5.79008539982085E-0001  0.00000000000000E+0000 
 1.86100000000000E+0000  7.90497360350247E+0000  2.58141463780431E+0000  4.74527133621194E+0000  5.78287629486221E-0001  0.00000000000000E+0000 
 1.86200000000000E+0000  7.90220808601391E+0000  2.58119680197806E+0000  4.74344309133817E+0000  5.77568192697686E-0001  0.00000000000000E+0000 
 1.86300000000000E+0000  7.89944712430291E+0000  2.58098140311218E+0000  4.74161549600284E+0000  5.76850225187885E-0001  0.00000000000000E+0000 
 1.86400000000000E+0000  7.89669071792557E+0000  2.58076844232891E+0000  4.73978855305027E+0000  5.76133722546388E-0001  0.00000000000000E+0000 
 1.86500000000000E+0000  7.89393886643638E+0000  2.58055792075274E+0000  4.73796226530280E+0000  5.75418680380836E-0001  0.00000000000000E+0000 
 1.86600000000000E+0000  7.89119156938819E+0000  2.58034983951039E+0000  4.73613663556095E+0000  5.74705094316849E-0001  0.00000000000000E+0000 
 1.86700000000000E+0000  7.88844882633231E+0000  2.58014419973084E+0000  4.73431166660354E+0000  5.73992959997922E-0001  0.00000000000000E+0000 
 1.86800000000000E+0000  7.88571063681849E+0000  2.57994100254529E+0000  4.73248736118786E+0000  5.73282273085343E-0001  0.00000000000000E+0000 
 1.86900000000000E+0000  7.88297700039500E+0000  2.57974024908713E+0000  4.73066372204978E+0000  5.72573029258091E-0001  0.00000000000000E+0000 
 1.87000000000000E+0000  7.88024791660866E+0000  2.57954194049200E+0000  4.72884075190391E+0000  5.71865224212746E-0001  0.00000000000000E+0000 
 1.87100000000000E+0000  7.87752338500484E+0000  2.57934607789770E+0000  4.72701845344374E+0000  5.71158853663397E-0001  0.00000000000000E+0000 
 1.87200000000000E+0000  7.87480340512754E+0000  2.57915266244424E+0000  4.72519682934176E+0000  5.70453913341553E-0001  0.00000000000000E+0000 
 1.87300000000000E+0000  7.87208797651943E+0000  2.57896169527378E+0000  4.72337588224961E+0000  5.69750398996044E-0001  0.00000000000000E+0000 
 1.87400000000000E+0000  7.86937709872183E+0000  2.57877317753067E+0000  4.72155561479821E+0000  5.69048306392943E-0001  0.00000000000000E+0000 
 1.87500000000000E+0000  7.86667077127480E+0000  2.57858711036142E+0000  4.71973602959792E+0000  5.68347631315464E-0001  0.00000000000000E+0000 
 1.87600000000000E+0000  7.86396899371714E+0000  2.57840349491467E+0000  4.71791712923860E+0000  5.67648369563880E-0001  0.00000000000000E+0000 
 1.87700000000000E+0000  7.86127176558647E+0000  2.57822233234121E+0000  4.71609891628983E+0000  5.66950516955433E-0001  0.00000000000000E+0000 
 1.87800000000000E+0000  7.85857908641920E+0000  2.57804362379396E+0000  4.71428139330100E+0000  5.66254069324244E-0001  0.00000000000000E+0000 
 1.87900000000000E+0000  7.85589095575062E+0000  2.57786737042796E+0000  4.71246456280143E+0000  5.65559022521228E-0001  0.00000000000000E+0000 
 1.88000000000000E+0000  7.85320737311490E+0000  2.57769357340037E+0000  4.71064842730052E+0000  5.64865372414007E-0001  0.00000000000000E+0000 
 1.88100000000000E+0000  7.85052833804512E+0000  2.57752223387042E+0000  4.70883298928788E+0000  5.64173114886818E-0001  0.00000000000000E+0000 
 1.88200000000000E+0000  7.84785385007335E+0000  2.57735335299948E+0000  4.70701825123344E+0000  5.63482245840437E-0001  0.00000000000000E+0000 
 1.88300000000000E+0000  7.84518390873062E+0000  2.57718693195096E+0000  4.70520421558758E+0000  5.62792761192084E-0001  0.00000000000000E+0000 
 1.88400000000000E+0000  7.84251851354699E+0000  2.57702297189037E+0000  4.70339088478128E+0000  5.62104656875345E-0001  0.00000000000000E+0000 
 1.88500000000000E+0000  7.83985766405158E+0000  2.57686147398529E+0000  4.70157826122621E+0000  5.61417928840085E-0001  0.00000000000000E+0000 
 1.88600000000000E+0000  7.83720135977259E+0000  2.57670243940533E+0000  4.69976634731490E+0000  5.60732573052363E-0001  0.00000000000000E+0000 
 1.88700000000000E+0000  7.87056422576441E+0000  2.61256049484926E+0000  4.69795514542080E+0000  5.60048585494351E-0001  0.00000000000000E+0000 
 1.88800000000000E+0000  7.86789314667509E+0000  2.61238252661238E+0000  4.69614465789846E+0000  5.59365962164252E-0001  0.00000000000000E+0000 
 1.88900000000000E+0000  7.86522537104472E+0000  2.61220578488489E+0000  4.69433488708362E+0000  5.58684699076214E-0001  0.00000000000000E+0000 
 1.89000000000000E+0000  7.86256089524231E+0000  2.61203026768871E+0000  4.69252583529334E+0000  5.58004792260254E-0001  0.00000000000000E+0000 
 1.89100000000000E+0000  7.85989971563855E+0000  2.61185597305025E+0000  4.69071750482613E+0000  5.57326237762170E-0001  0.00000000000000E+0000 
 1.89200000000000E+0000  7.85724182860586E+0000  2.61168289900036E+0000  4.68890989796204E+0000  5.56649031643466E-0001  0.00000000000000E+0000 
 1.89300000000000E+0000  7.85458723051837E+0000  2.61151104357429E+0000  4.68710301696281E+0000  5.55973169981271E-0001  0.00000000000000E+0000 
 1.89400000000000E+0000  7.85193591775194E+0000  2.61134040481171E+0000  4.68529686407197E+0000  5.55298648868258E-0001  0.00000000000000E+0000 
 1.89500000000000E+0000  7.84928788668419E+0000  2.61117098075667E+0000  4.68349144151497E+0000  5.54625464412562E-0001  0.00000000000000E+0000 
 1.89600000000000E+0000  7.84664313369456E+0000  2.61100276945759E+0000  4.68168675149926E+0000  5.53953612737710E-0001  0.00000000000000E+0000 
 1.89700000000000E+0000  7.84400165516423E+0000  2.61083576896725E+0000  4.67988279621445E+0000  5.53283089982533E-0001  0.00000000000000E+0000 
 1.89800000000000E+0000  7.84136344747624E+0000  2.61066997734273E+0000  4.67807957783241E+0000  5.52613892301095E-0001  0.00000000000000E+0000 
 1.89900000000000E+0000  7.83872850701544E+0000  2.61050539264546E+0000  4.67627709850737E+0000  5.51946015862613E-0001  0.00000000000000E+0000 
 1.90000000000000E+0000  7.83609683016854E+0000  2.61034201294112E+0000  4.67447536037604E+0000  5.51279456851382E-0001  0.00000000000000E+0000 
